pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_hl_breakout_8m,0,0.0175,0.02,0.0125,0.05,20,high_frequency,2.0834950800485786e-05,0.0020834950800485788,0.417910447761194,67,-0.023270930797978928,-2.327093079797893,0.2322695501632936,1.0003827958446274,1.5522388059701492e-10,0.004907593032730705,10000.208349508004,2.0834950800485786e-05
btc_hl_breakout_2m,0,0.015,0.015,0.0075,0.25,60,high_frequency,0.0007812031185901106,0.07812031185901105,0.5064935064935064,77,-0.07807556136278637,-7.807556136278637,1.1548679242928874,1.0028408336910561,1.303030303030303e-10,0.019079574305698076,10007.812031185902,0.0007812031185901106
btc_hl_breakout_3m,0,0.035,0.045,0.015,0.05,45,high_frequency,0.01154703029230842,1.154703029230842,0.42857142857142855,35,-0.016666523848784753,-1.6666523848784753,16.804986815163268,1.3139365500538738,3.866666666666667e-10,0.6645440729682148,10115.470302923084,0.01154703029230842
btc_hl_breakout_2m,0,0.015,0.06,0.0175,0.25,5,high_frequency,0.022126166902749173,2.2126166902749174,0.34615384615384615,52,-0.08435313512728193,-8.435313512728193,7.688682684401094,1.100749939768472,2.205128205128205e-10,0.19498997894977857,10221.261669027492,0.022126166902749173
btc_alt_aligned,0,0.03,0.01,0.003,0.25,60,high_frequency,0.05054925435845098,5.054925435845098,0.6708860759493671,79,-0.07443111138226599,-7.443111138226599,14.031152862540386,1.1658363259565185,1.6856540084388185e-10,0.2714680411182682,10505.49254358451,0.05054925435845098
btc_hl_breakout_2m,0,0.025,0.06,0.015,0.15,60,high_frequency,0.0277964431548535,2.77964431548535,0.3333333333333333,42,-0.048221130252657396,-4.82211302526574,13.862317573437778,1.2093576967462552,2.9682539682539685e-10,0.4586343998328661,10277.964431548535,0.0277964431548535
btc_hl_breakout_6m,0,0.015,0.04,0.0175,0.15,90,high_frequency,-0.009732256530219842,-0.9732256530219842,0.4032258064516129,62,-0.058297257739756914,-5.829725773975691,-4.551095972361114,0.9368809030131571,1.793010752688172e-10,-0.09342114561090846,9902.677434697802,-0.009732256530219842
btc_vol_breakout_2m,0,0.015,0.06,0.003,0.25,10,high_frequency,0.02065291362139087,2.065291362139087,0.3090909090909091,55,-0.08611250085005229,-8.611250085005228,7.071883068469781,1.0928878496685437,1.9606060606060607e-10,0.17628177693860775,10206.529136213909,0.02065291362139087
btc_hl_breakout_7m,0,0.0175,0.015,0.02,0.25,15,high_frequency,-0.007985105994572314,-0.7985105994572315,0.4520547945205479,73,-0.11938600422574708,-11.938600422574709,-1.2713077494056986,0.9730818334635216,1.4383561643835617e-10,-0.024620511351230057,9920.148940054278,-0.007985105994572314
btc_bullish,0,0.01,0.015,0.005,0.25,60,high_frequency,0.033357239272565994,3.3357239272565993,0.3904761904761905,105,-0.07005886404387673,-7.005886404387674,10.125729981889029,1.106988050975715,1.0841269841269841e-10,0.13960751364880783,10333.57239272566,0.033357239272565994
btc_hl_breakout_2m,0,0.005,0.04,0.02,0.2,15,high_frequency,-0.023219054615487948,-2.321905461548795,0.2988505747126437,87,-0.09476757243018519,-9.476757243018518,-9.20274294773451,0.8822980831073746,9.731800766283526e-11,-0.12561098929667658,9767.80945384512,-0.023219054615487948
btc_hl_breakout_7m,0,0.01,0.02,0.015,0.05,30,high_frequency,0.008841452589324263,0.8841452589324262,0.367816091954023,87,-0.017656969655602595,-1.7656969655602595,12.811903486716325,1.168619242969134,1.1245210727969349e-10,0.2058958126564797,10088.414525893242,0.008841452589324263
btc_hl_breakout_6m,0,0.03,0.045,0.02,0.05,90,high_frequency,-0.00272050021567124,-0.272050021567124,0.35,40,-0.02369424573021972,-2.369424573021972,-3.948150709898509,0.9390300236917323,3.2291666666666666e-10,-0.13032432325357124,9972.794997843288,-0.00272050021567124
btc_vol_breakout_3m,0,0.02,0.035,0.003,0.05,60,high_frequency,-0.001922371289845728,-0.1922371289845728,0.37777777777777777,45,-0.017060995622433683,-1.7060995622433683,-2.9723465210299964,0.9551504706096247,2.2111111111111111e-10,-0.08065503363454087,9980.776287101542,-0.001922371289845728
btc_small_down_10m,0,0.0125,0.03,0.0125,0.1,30,high_frequency,0.03744167011763107,3.744167011763107,0.4482758620689655,58,-0.02355069125611231,-2.355069125611231,34.897289605208364,1.6057939711173708,1.474137931034483e-10,0.6400881200750355,10374.416701176311,0.03744167011763107
btc_hl_breakout_3m,0,0.005,0.015,0.0075,0.2,5,high_frequency,-0.0363939965085754,-3.6393996508575404,0.3010752688172043,93,-0.08712818951121848,-8.712818951121848,-15.30791443573392,0.8178455037325041,8.082437275985663e-11,-0.19086653528315567,9636.060034914246,-0.0363939965085754
btc_hl_breakout_1m,0,0.0075,0.04,0.02,0.25,30,high_frequency,-0.019026360248727996,-1.9026360248727996,0.3375,80,-0.09275680312367685,-9.275680312367685,-5.398385415436778,0.9229687150724409,1.1916666666666667e-10,-0.08284149921571843,9809.73639751272,-0.019026360248727996
