parameter_name,parameter_value,avg_return,avg_sharpe,avg_win_rate,avg_trades,count
take_profit,0.045,0.020186870884932533,7.8387807138258685,0.3966855105219994,50.80952380952381,147
take_profit,0.03,0.034945211098503896,13.935643277975908,0.4568273144920743,53.24812030075188,133
take_profit,0.04,0.030911973173199003,10.426682245312444,0.4178214176738222,54.735099337748345,151
take_profit,0.025,0.023321749073925813,10.260873157756215,0.4494515287848498,60.38607594936709,158
take_profit,0.015,0.02209413761040666,8.428862530366619,0.5305159221382225,63.355555555555554,135
take_profit,0.05,0.01824920729935073,7.345011971291054,0.37764975973195547,50.72868217054263,129
take_profit,0.035,0.027893963345442068,10.943740045907205,0.43660596029560167,53.39041095890411,146
take_profit,0.01,0.012703031999951186,5.492638495185607,0.5840865269316593,72.2360248447205,161
take_profit,0.02,0.03308324371876166,12.368485178796732,0.4873289420591785,61.59440559440559,143
take_profit,0.06,0.02675153335963111,9.96053739481437,0.3584759010094387,45.66187050359712,139
take_profit,0.2,0.039908940076419,11.9598891512439,0.32476176644866206,33.904761904761905,84
take_profit,0.25,0.04830717436478021,12.570303375882217,0.3206286352569029,33.611111111111114,72
take_profit,0.15,0.03645746702927369,9.301908781582737,0.3327853250766948,37.13333333333333,75
take_profit,0.12,0.038077526644278575,12.099023448420844,0.34149843128102136,36.18987341772152,79
take_profit,0.3,0.041166758903959065,12.131549250886296,0.3255390543235846,35.28947368421053,76
take_profit,0.08,0.03132949100859085,9.00136324497109,0.3650053243770525,40.17857142857143,84
take_profit,0.1,0.03591355573566521,10.802646911438943,0.3501100010999602,43.62068965517241,87
trailing_stop,0.0075,0.030997526186104744,10.712244684013848,0.43817222250386917,52.53225806451613,186
trailing_stop,0.005,0.02662485524712934,9.846032128043035,0.42427047635692805,54.82795698924731,186
trailing_stop,0.003,0.026435434223765507,9.0148103938018,0.42433750623911665,53.50267379679144,187
trailing_stop,0.0125,0.021813755838374548,8.890190257586141,0.4050002548031686,54.18032786885246,183
trailing_stop,0.0175,0.026181888290330087,9.095912368598398,0.4259574049455892,52.52040816326531,196
trailing_stop,0.015,0.02896968249370709,10.500092293933854,0.413407124775237,52.00558659217877,179
trailing_stop,0.01,0.026967349808407592,10.615050053588236,0.4237667447480641,52.94972067039106,179
trailing_stop,0.02,0.0276323225326089,10.076142610799293,0.40511821339850906,53.787709497206706,179
trailing_stop,0.04,0.03811360783597923,12.882546583020705,0.43145627215703947,43.177083333333336,96
trailing_stop,0.03,0.03892268881919196,11.27389281281473,0.42059744909694935,48.154545454545456,110
trailing_stop,0.035,0.028496308272332977,9.360591734346809,0.40069879963651506,47.35398230088496,113
trailing_stop,0.025,0.028901704433321025,10.047295135398613,0.42273634484760614,44.86,100
trailing_stop,0.05,0.0336672709028752,10.10780520843989,0.41902086814737455,46.86666666666667,105
position_size,0.05,0.006503596640005882,9.616289037754656,0.4137871351816852,53.01766784452297,283
position_size,0.15,0.018396401505344082,9.251483492895517,0.4213462079723259,52.48231511254019,311
position_size,0.2,0.02529081711939371,9.654617604332293,0.4184916340243573,55.87697160883281,317
position_size,0.25,0.029073456505624932,9.115739134058755,0.4165962845984789,53.3448275862069,290
position_size,0.1,0.013998667935236452,10.29272635159622,0.4245462403620518,52.745583038869256,283
position_size,0.3,0.04805380570941319,11.92954253560071,0.423399691220538,44.81025641025641,195
position_size,0.5,0.06685267643558858,10.739687126660195,0.4300603985775674,47.0,149
position_size,0.4,0.05863120392846959,11.468925497963475,0.41269018929491397,44.567251461988306,171
holding_time,10,0.02615442585922016,9.589616937956865,0.40831088013292677,54.62352941176471,170
holding_time,45,0.026273491479678553,9.060965154165547,0.4201085862689467,55.477987421383645,159
holding_time,20,0.022597942341478335,8.584936607503483,0.4129493119333446,54.839080459770116,174
holding_time,5,0.02771435252597543,10.384501931950581,0.42634251172903886,53.26108374384236,203
holding_time,60,0.020545530023448104,8.688872401360081,0.4106015790506216,53.975,160
holding_time,15,0.02608186846621026,9.931374035235189,0.434413973970458,52.33536585365854,164
holding_time,90,0.029418334824944485,10.975644514696643,0.43600918087699203,50.50887573964497,169
holding_time,30,0.02449322111974105,9.823996822737472,0.42289277190135227,53.09782608695652,184
holding_time,360,0.03454775097934753,10.441358044892164,0.4257067143141986,46.160919540229884,87
holding_time,1440,0.04024969893025972,11.582922033935423,0.4124807181421494,48.65,80
holding_time,720,0.03742283736031552,11.693851429641452,0.4113286034544623,47.24528301886792,106
holding_time,480,0.03538819399573707,11.789293209821002,0.4307122469207085,45.25609756097561,82
holding_time,180,0.03050767107797792,10.196856372656907,0.38520453653358566,48.5,86
holding_time,120,0.037367714240085545,10.20274280264291,0.4176571209064533,47.77777777777778,90
holding_time,240,0.035569381687938696,10.735260170813449,0.42651821429558073,43.694117647058825,85
