pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_hl_breakout_4m,0,0.035,0.2,0.0,0.3,360,random,0.15764734274825543,15.764734274825543,0.45454545454545453,11,-0.08234025760478292,-8.234025760478293,32.43148950779928,2.2871899867336496,1.321212121212121e-09,4.7179135267750745,11576.473427482553,0.15764734274825543
btc_small_down_10m,0,0.08,0.025,0.0,0.4,120,random,0.157463919721607,15.746391972160701,0.7916666666666666,24,-0.09122238547447559,-9.122238547447559,27.242523909900456,1.7743686406958892,4.965277777777778e-10,1.5970558216859614,11574.63919721607,0.157463919721607
btc_hl_breakout_10m,0,0.025,0.03,0.0,0.5,480,random,0.15725236290454178,15.725236290454179,0.5365853658536586,41,-0.12565733904810905,-12.565733904810905,21.988385484639394,1.31648651755084,3.0040650406504064e-10,0.7894361762807438,11572.523629045418,0.15725236290454178
btc_hl_breakout_9m,0,0.01,0.2,0.0,0.5,30,random,0.15650283216395655,15.650283216395655,0.21739130434782608,23,-0.16017778389219972,-16.017778389219973,21.514382981835833,1.4824033119043016,5.942028985507246e-10,1.4838743000235552,11565.028321639566,0.15650283216395655
btc_hl_breakout_8m,0,0.06,0.025,0.0,0.5,360,random,0.15647409539602194,15.647409539602194,0.7,30,-0.1296584442245916,-12.96584442245916,21.869473255837026,1.4217054891135514,4.466666666666667e-10,1.0553704619344046,11564.74095396022,0.15647409539602194
btc_hl_breakout_4m,0,0.005,0.25,0.0,0.5,180,random,0.15630968084209063,15.630968084209062,0.15384615384615385,26,-0.14441771426484007,-14.441771426484006,22.315667444319324,1.5193356106705285,4.948717948717949e-10,1.3471374803357987,11563.096808420905,0.15630968084209063
btc_hl_breakout_2m,0,0.06,0.035,0.0,0.4,20,random,0.1558485238491117,15.58485238491117,0.7037037037037037,27,-0.11962098519283648,-11.962098519283648,25.89223779323331,1.5740823336590306,5.04320987654321e-10,1.4201135006296086,11558.485238491117,0.1558485238491117
btc_small_up_10m,0,0.035,0.015,0.0,0.5,90,random,0.15575606157126776,15.575606157126776,0.6444444444444445,45,-0.15149338049172212,-15.149338049172211,21.94769296628521,1.3527676011634704,2.4407407407407405e-10,0.707056605122567,11557.560615712679,0.15575606157126776
btc_hl_breakout_9m,0,0.1,0.15,0.0,0.5,10,random,0.15500444594712434,15.500444594712434,0.5454545454545454,11,-0.18502415697810937,-18.502415697810935,20.596356356280094,1.4485143619850391,1.321212121212121e-09,3.1419928767931213,11550.044459471243,0.15500444594712434
btc_hl_breakout_8m,0,0.0175,0.3,0.0,0.5,20,random,0.15494209009558,15.494209009557999,0.4,5,-0.163459670701393,-16.3459670701393,20.08166175821829,3.777115781163688,2.93e-09,6.26380505630676,11549.4209009558,0.15494209009558
btc_hl_breakout_2m,0,0.06,0.12,0.0,0.4,15,random,0.1546544604631293,15.46544604631293,0.46153846153846156,13,-0.1302709846481125,-13.02709846481125,25.27019464599568,1.7009153136013224,1.0820512820512819e-09,3.004862427092297,11546.544604631294,0.1546544604631293
btc_vol_breakout_3m,0,0.1,0.1,0.0,0.5,5,random,0.15309971168121883,15.309971168121884,0.5454545454545454,11,-0.15735168477731043,-15.735168477731044,20.819261546025164,1.5534451081576566,1.2742424242424242e-09,2.943765502249218,11530.997116812188,0.15309971168121883
btc_hl_breakout_7m,0,0.035,0.02,0.0,0.4,60,random,0.1516687200497841,15.16687200497841,0.6444444444444445,45,-0.10128427836721299,-10.128427836721299,25.668437967464193,1.4109087481563702,2.696296296296296e-10,0.8367861352580741,11516.687200497841,0.1516687200497841
btc_small_up_9m,0,0.035,0.05,0.0,0.5,180,random,0.1513950977518829,15.139509775188289,0.5384615384615384,26,-0.1279317264659693,-12.793172646596929,23.356381564296576,1.4511440910337257,4.4294871794871796e-10,1.1849227889589837,11513.950977518829,0.1513950977518829
btc_small_down_10m,0,0.03,0.1,0.0,0.5,120,random,0.15110377414253726,15.110377414253726,0.38095238095238093,21,-0.14234292819553773,-14.234292819553772,23.780057967402993,1.4599153590713914,6.238095238095238e-10,1.4985947600368184,11511.037741425373,0.15110377414253726
btc_vol_breakout_2m,0,0.02,0.12,0.0,0.5,480,random,0.15098372504893567,15.098372504893568,0.2916666666666667,24,-0.15561344234810004,-15.561344234810004,22.26748225080683,1.4233242595492361,5.652777777777777e-10,1.3519956068309225,11509.837250489356,0.15098372504893567
btc_vol_breakout_3m,0,0.02,0.3,0.0,0.5,480,random,0.15084651870572652,15.084651870572651,0.4,5,-0.16785495913234616,-16.785495913234616,19.631365229103487,3.527494327322683,2.9233333333333334e-09,6.123301424284896,11508.465187057265,0.15084651870572652
btc_small_up_9m,0,0.04,0.02,0.0,0.5,30,random,0.15076245195183138,15.076245195183139,0.6666666666666666,36,-0.09557204500070682,-9.557204500070682,24.25353954436946,1.4302123495218735,2.967592592592593e-10,0.8408126527763226,11507.624519518315,0.15076245195183138
btc_vol_breakout_9m,0,0.025,0.03,0.0,0.5,480,random,0.14961697280799152,14.961697280799152,0.5483870967741935,31,-0.08224991085915745,-8.224991085915745,26.582411363816863,1.4796101498362082,3.263440860215054e-10,0.9589986877593061,11496.169728079916,0.14961697280799152
btc_vol_breakout_9m,0,0.025,0.03,0.0,0.5,90,random,0.14961697280799152,14.961697280799152,0.5483870967741935,31,-0.08224991085915745,-8.224991085915745,26.582411363816863,1.4796101498362082,3.263440860215054e-10,0.9589986877593061,11496.169728079916,0.14961697280799152
btc_hl_breakout_7m,0,0.025,0.25,0.0,0.4,45,random,0.14949284017401707,14.949284017401707,0.2857142857142857,14,-0.1381518113401341,-13.815181134013411,23.44824633144154,1.7649490030660546,1.0226190476190475e-09,2.8035861412688807,11494.92840174017,0.14949284017401707
btc_hl_breakout_7m,0,0.08,0.015,0.0,0.5,60,random,0.14850928271170025,14.850928271170025,0.8055555555555556,36,-0.14550476085628383,-14.550476085628382,20.795493616131967,1.3912916916157445,3.4907407407407405e-10,0.847442177979154,11485.092827117001,0.14850928271170025
btc_vol_breakout_2m,0,0.03,0.01,0.0,0.5,30,random,0.1482138471824207,14.82138471824207,0.734375,64,-0.08389183310008852,-8.389183310008852,25.45212419646175,1.3618845747621777,1.5625e-10,0.46039031444476025,11482.138471824208,0.1482138471824207
